date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2023-06-01,CASTROLIND,Oil & Gas Refining & Marketing,Energy,113.8,,,,,,,,,4.21,-12.19,-1.64,-6.53
2023-06-01,BRIGADE,Real Estate - Development,Real Estate,569.65,13144,45.17,4.05,3.82,13.6,16.18,0.26,8.98,24.55,15.24,19.45,12.31
2023-06-01,KALYANKJIL,Luxury Goods,Consumer Cyclical,108.7,11197,25.88,3.08,0.8,11.05,13.71,0,11.92,79.23,-0.96,-7.13,2.94
2023-06-01,TTML,Telecom Services,Communication Services,63.75,12463,-10.88,-0.65,11.27,22.33,60.59,0,6.01,-47.68,-36.91,-1.62,3.24
2023-06-01,VGUARD,Electrical Equipment & Parts,Industrials,252.35,10906,58.01,6.78,2.64,25.73,33.8,0.51,11.76,7.63,-0.02,1.73,0.82
2023-06-01,NLCINDIA,Utilities - Regulated Electric,Utilities,93.55,12972,9.1,0.86,0.8,3.11,7.28,3.3,9.2,22.37,6.01,16.94,13.39
2023-06-01,LAXMIMACH,Specialty Industrial Machinery,Industrials,11501.7,12288,32,5.25,2.6,33.74,20.32,0.35,16.42,24.99,-13.24,6.54,1.6
2023-06-01,TRITURBINE,Specialty Industrial Machinery,Industrials,391.45,12444,65.57,16.37,9.97,63.59,44.98,0.4,25.32,132.59,34.89,21.21,11.86
2023-06-01,FINPIPE,Building Products & Equipment,Industrials,173,10698,42.82,2.18,2.43,34.77,25.65,2.32,5.11,10.83,5.88,1.73,1.7
2023-06-01,AKZOINDIA,Specialty Chemicals,Basic Materials,2466.55,11233,33.52,8.53,2.95,23.1,19.89,2.43,25.46,34.49,7.4,12.89,2.36
2023-06-01,MANAPPURAM,Credit Services,Financial Services,113.4,9599,6.4,1,2.12,-3.09,8.09,2.73,15.51,21.22,-5.03,6.88,-12.57
